1,1,0,
4,1,0,1
5,2,0,2
2,2,2,
3,3,0,
6,3,0,
9,3,0,4
10,1,0,5
7,2,0,
8,1,2,
11,2,0,
14,2,0,7
15,1,0,8
12,3,0,
13,1,2,
16,3,0,
19,3,0,10
20,2,0,11
17,1,0,
18,2,2,
21,2,0,
24,2,0,13
25,3,0,14
22,1,0,
23,3,3,
26,2,0,
29,2,0,16
30,1,0,17
27,3,0,
28,1,2,
31,3,0,
34,3,0,19
35,1,0,20
32,2,0,
33,1,2,
37,3,0,
38,2,0,
39,1,0,22
40,,0,23
36,1,0,
41,1,0,
44,1,0,25
45,3,0,26
42,2,0,
43,3,2,
47,2,0,
48,3,0,
46,1,0,
49,1,0,28
50,3,0,29
51,2,0,
54,2,0,31
55,3,0,32
52,1,0,
53,3,2,
56,2,0,
59,2,0,34
60,3,0,35
57,1,0,
58,3,2,
62,2,0,
63,1,0,
64,3,0,37
65,,0,38
61,3,0,
67,1,0,
68,3,0,
69,2,0,40
70,,0,41
66,2,0,
72,3,0,
73,2,0,
74,1,0,43
75,,0,44
71,1,0,
77,3,0,
78,1,0,
79,2,0,46
80,,0,47
76,2,0,
81,2,0,
84,2,0,49
85,3,0,50
82,1,0,
83,3,2,
87,1,0,
88,3,0,
89,2,0,52
90,,0,53
86,2,0,
